lat,lon,Cod_Postal
52.923454,-1.474217,DE1 9RB
53.457321,-2.262773,M15 5BR
50.871446,-0.729985,PO18 0QD
50.215687,-5.191573,TR16 6JB
57.540178,-3.758607,IV12 5LD
51.126982,1.323783,
52.248118,0.109363,
52.73052,-1.102517,LE12 7PH
51.643843,-0.427707,WD18 8RL
51.543989,-0.214267,NW2 4BY
51.526783,0.598957,SS8 8DY
52.452202,1.439576,NR35 1BZ
51.425096,-0.57365,TW20 0UN
51.377773,-2.528614,BS39 4HU
51.745122,-0.450282,HP3 8DX
51.541592,0.043358,E7 8QP
56.478868,-3.013486,DD2 3JP
53.710412,-2.251032,BB4 9LU
53.376684,-3.182967,CH48 5EN
53.569599,-2.586036,WN2 1XH
51.318225,-2.206578,BA14 8TQ
51.664826,0.376871,CM4 9HN
51.797923,-4.968177,SA61 1RN
51.905654,-2.08205,GL50 1PP
51.304335,-0.635272,GU24 0EU
51.401441,-0.765678,RG12 8XP
50.829726,-1.081785,PO2 9NZ
51.199023,-2.54258,BA4 4JX
51.611757,0.273606,CM14 5LZ
51.391512,-0.107147,CR7 7JR
53.220124,-0.590571,LN6 0TH
53.802373,-2.454281,BB6 8EY
51.550839,-0.1467,NW5 9GT
54.594079,-5.870061,BT5 6EN
51.564173,-3.017777,NP10 8WN
52.656795,-2.038305,WS6 7LF
54.367907,-7.733817,BT74 8BB
51.214771,-1.101123,RG25 2HW
54.687937,-1.224822,TS26 8EL
55.71193,-4.529017,KA3 4DB
53.367907,-2.076966,SK6 8AD
51.436445,-0.053119,SE23 3BA
51.400156,-0.463046,TW17 0JD
55.955099,-3.196319,EH2 1JQ
51.433739,-0.456683,TW15 2ER
53.446968,-1.987735,SK13 0EB
51.544722,-0.176583,NW3 6JP
51.291987,-2.441811,BA3 3PX
52.568861,-0.242024,PE1 1EP
55.948809,-4.774202,PA16 8UA
51.984145,-2.41899,GL18 2DF
51.405547,-3.271888,CF62 8DP
51.489388,0.018004,SE10 1DE
51.417427,-0.080494,SE19 2TA
55.161511,-3.717003,DG2 0UA
51.35165,-1.991924,SN10 1AD
53.572172,-0.077361,DN31 2US
51.40404,-0.173486,CR4 3FE
54.176641,-0.287341,YO14 9QL
53.442701,-2.962761,L4 5ST
52.513627,-3.310355,SY16 1DD
54.016396,-1.076919,YO32 2HY
55.733182,-3.962703,ML9 2QF
51.543815,0.199015,RM12 5JB
53.788242,-0.427837,
51.033108,-1.948111,SP5 5ET
51.473776,-0.096544,SE24 4BN
50.36563,-4.146202,PL1 2BE
53.863758,-1.687686,LS19 7RU
55.932655,-3.490961,EH52 5JT
51.980465,-2.359959,GL19 3JW
50.964995,-4.200989,EX39 5JU
50.657385,-3.302893,EX9 7HY
51.523421,-3.124224,CF3 5LL
53.747738,-0.281343,HU9 5PJ
51.508685,-0.08493,EC3R 6AD
51.750231,-1.267367,OX1 1AA
55.816314,-3.988307,ML4 2RT
51.195769,0.210069,TN11 8RR
50.470846,-4.737044,PL31 2QE
55.842422,-3.871353,ML7 4NB
57.1095,-2.572999,AB31 4NP
53.592627,-2.310206,BL0 0WY
55.808114,-4.859437,KA30 8QZ
54.841266,-1.484866,DH4 5PZ
51.515538,-0.165945,W2 2PD
51.534714,-0.11164,N1 0HG
53.514365,-2.361495,M28 2QB
50.744993,-3.464456,EX1 3TH
52.201611,-0.864543,NN4 6FU
53.171114,-3.054059,CH7 3EF
53.236251,-1.900088,SK17 9UN
50.453582,-4.452012,PL14 3UH
52.049239,1.32554,IP12 4PY
51.518904,-0.149003,W1G 8TH
53.796296,-1.564095,LS1 1AZ
51.404056,-3.27258,CF62 8YR
51.470271,0.178184,DA8 3QD
53.532375,-2.412295,M38 9PZ
52.49281,-2.181066,DY6 9RP
